property_name,link,society,price,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,rate,noOfFloor
"3 Bedroom House for sale in Anjanapura 2nd Block, Lal Bahadur Shastri Nagar, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-anjanapura-block-2-bangalore-south-2900-sqft-spid-M86846618,"Anjanapura 2nd Block, Lal Bahadur Shastri Nagar, Bangalore, Bangalore South",2.2 Crore,Plot area 735(68.28 sq.m.)Built-up area: 2900 sqft (269.42 sq.m.),3 Bedrooms,5 Bathrooms,3+ Balconies,"Pooja Room,Study Room","Anjanapura 2nd Block, Lal Bahadur Shastri Nagar, Bangalore",South-West,0 to 1 Year Old,"['Vajramuneshwara Temple', 'Temple', 'Bank of india ATM', 'Canara bank ATM', 'Axis bank ATM', 'State bank ATM', 'Canara bank ATM', 'Aikya Healthcare', ""Specialist's Dental Clinic"", 'Soudhamini Kalyana Mantapa', 'Arpitha Medicals', 'Bank of india city engineering college branch', 'Corporation bank', 'State bank of india', 'BLR Brewing Company', 'Snowora - Korean Snow Desert', 'Kabab Mehal', 'Vasudev Adigas', 'Sindhoor', 'Shiva Bar', 'Karanth Upahar', 'Florence Public School 4th Blk Anjanapura', 'GHPS', 'Kammavari Sangha Institute of Technology', 'Mvs HPS Anjanapura', 'GKHPS Hari Nagar', 'Gubbalala School', 'GULPS Hari Nagar']","Triplex individual house available for sale with garden, lift and 4 floor parking with gym room / home theatre room. Front park with 27 ft road on both the side and 100 ft road in 50 mtrs which connects kanakapura road and bg road","['2 Bed', '5 Wardrobe', 'Fan', 'Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Park', 'Visitor Parking']","['Connectivity3.8 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Green Area3.7 out of 5']",M86846618,"₹29,932 /sqft",4 Floors
"7 Bedroom House for sale in Bommasandra, Bangalore",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-rk-township-bommasandra-bangalore-south-4500-sq-ft-spid-R86769346,RK Township,2.6 Crore,Plot area 1500(139.35 sq.m.)Built-up area: 4500 sqft (418.06 sq.m.),7 Bedrooms,8 Bathrooms,3+ Balconies,,"Bommasandra, Bangalore",East,5 to 10 Year Old,"['Ganapathi Temple', 'Corporation bank ATM', 'Svasthir Care Centre', 'Thirumala clinic', 'Bhumika Hospital', 'Goverment Veterinary Clinic', 'Dr. Naveen S Tahasildar', 'Anjaneya Homeo Care', 'Sri Saptagiri Clinic', 'Sri Sai Clinic', 'Global Speciality Hospital', 'E-City Allergy & Asthma Specialty Clinic', 'Bharat Petroleum', 'Priyadarshini Petrol Gas Station', 'Corporation bank', 'Cqtholic syrian bank', 'South indian bank', 'Udupi Hotel', 'Time Traveler sai Vishram Electronic', 'Urban Herbivore', 'Sunshine', 'Thirumala bar', 'Hotel Prashanth', 'Hotel Food Zone', 'KFC', 'On The Rock Electronic City', 'MBR Dum Biryani County', 'Ritz Electronic City', 'Narayana Veg Treat', 'Adyar Ananda Bhavan', 'BTL Institute of Technology', 'Atotech India']","At rk township, 4,500 sq-Ft built-Up, 1500sq-Ft plot.
 
Independent building with 4 portions. Ground + first is a spacious duplex with 3 bedrooms, 4 bathrooms, a large balcony which can be converted to a 4th bedroom, 2 living areas, dining, kitchen, utility area.Second floor has one 2bhk and a 1bhk house with access through separate external staircase. 3rd floor has a single room with attached bathroom.Water is available from own borewell and layout water connection. Cauvery connection is given.Located in rk township, a large bmrda approved layout with e khata. 2.5kms from bommasandra metro station, 5 kms to electronic city. Common amenities in the layout include club house, swimming pool, indoor badminton court, 5-6 parks etc.Plot size 30/50 = 1500sqft. East facing. Vastu compliant superior grade construction completed in 2016. Located on a 40 feet wide road with ample parking.Price: 2.6cr, negotiable","['1 Water Purifier', 'Fan', '1 Fridge', '6 Geyser', '1 Stove', 'Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '7 Wardrobe', '1 Sofa', '1 Washing Machine', 'No AC', 'No Dining Table', 'No Microwave', 'No TV']","['Vaastu Compliant', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house', 'Rain Water Harvesting']","['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",R86769346,"₹17,333 /sqft",3 Floors
"2 Bedroom House for sale in Doddakannelli, Sarjapur Road",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-doddakannelli-bangalore-east-1200-sqft-spid-H86776478,"Doddakannelli, Sarjapur Road, Bangalore East",1.75 Crore,Built-up area: 1200 (111.48 sq.m.)Carpet area: 1100 sqft (102.19 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"55, Doddakanelli, Hilltop Layout,near Aet College,carmalram ,post, Bangalore -35, Doddakannelli, Sarjapur Road",East,undefined,[],"This 2 bhk house for sale in doddakannelli, a well planned locality in bangalore east, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 2 bedrooms, 2 bathrooms . All in all, the independent house is spread over a built up area of 1200 sq.Ft. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 1.75 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction.","['Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.9 out of 5', 'Green Area3.8 out of 5']",H86776478,"₹14,583 /sqft",1 Floors
"4 Bedroom House for sale in Mandur, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sheshadri-akshara-green-city-township-mandur-bangalore-north-2300-sq-ft-r1-spid-Z80390663,Sheshadri Akshara Green City Township,1.6 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 2300 sqft (213.68 sq.m.),4 Bedrooms,4 Bathrooms,1 Balcony,,"Mandur, Bangalore",,Under Construction,"['GJM Global Academy', 'Surya College', 'Mission Hospital', 'International Airport']","Find property details below: 
Property type: Duplex house
Plot size: 30*40 and 1200 sqft Bed rooms : 4 with attached bathroomsGround floor*: Living room, kitchen, dining and bed room with attached bathroom and one car parking,First floor: Two bed rooms and attached bathrooms, wide family space, pooja room and balcony Second floor: One bed room with attached bathroom and open terrace, Total build-Up area-2300Quote price: 1.6 cr negotiable","['1 Exhaust Fan', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.9 out of 5', 'Green Area4 out of 5']",80390663,"₹13,333 /sqft",2 Floors
"2 Bedroom House for sale in Rammana Layout, Byrathi, Bangalore",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-rammana-layout-bangalore-east-1850-sqft-spid-G86786248,"Rammana Layout, Byrathi, Bangalore, Bangalore East",86.5 Lac,Plot area 620(57.6 sq.m.)Built-up area: 1850 sqft (171.87 sq.m.)Carpet area: 1800 sqft (167.23 sq.m.),2 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Study Room,Others","13a 2nd Main.Gundappa Layout, Rammana Layout, Byrathi, Bangalore",South,5 to 10 Year Old,"['Ayappa Temple', 'Sri Gavreyanna Sidheshwara Swamy Temple', 'Kothanur CSI Church', 'Blessing Worship Center', 'Sri Shiva Chamundi Temple', 'Emmanuel Marthoma Church', 'Malankara Orthodox Syrian Church - Bangalore Diocesan Centre', 'Philadelphia AG Church', 'Masjid Al-Salf Al-Salah', 'Temple', 'Bethel Assembly of God Church', 'State bank of india ATM', 'Icici bank ATM', 'Medi Derma Hospital', 'Bangalore Prime Hospital', 'Clubhouse', 'Indian overseas bank', 'State bank of india', 'Icici bank', 'Axis bank', 'Cafe Coffee Day', ""Mom's Kitchen - Tanang Naga"", 'Jiffy Cafe', 'Taawoon', 'Luqma', '3 Ediots', 'Roti Land Family Dhaba', 'Fella Cafe', 'Kolkata Famous Kati Roll', 'Dreamland Food Corner', 'Lassi Store', 'Coffe Cream Cafe', 'Cafe Zamorin', 'Karnataka Biryani Point', 'Chinese Bowl', ""Joicy's Kitchen"", 'Kairali Mess', 'Sash Cafe', 'Straight Up', ""Appam's Bakery and Sweets"", 'Chosen Cafe', 'Arunachalam Hot Chips', 'Moriz', 'Starbucks', 'De Grand', 'Teresa Bacq School', 'Little Lions', 'Orchids The International School - Horamavu', 'Tecwink']","It's an architecture designed, independent triplex house with rooftop garden asn coverd car park, near to metro and it center.","['Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', 'Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Sofa', '1 Microwave', 'No Bed', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4 out of 5', 'Lifestyle4 out of 5', 'Safety4 out of 5', 'Green Area3.9 out of 5']",G86786248,"₹13,952 /sqft",3 Floors
"4 Bedroom House for sale in Malleshwaram, Bangalore North",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-malleshwaram-bangalore-north-3800-sq-ft-spid-B86841426,"Malleshwaram, Bangalore North",16 Crore,Plot area 3800(353.03 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Servant Room,Study Room","Malleshwaram, Bangalore North",South,10+ Year Old,"['Corporation bank ATM', 'Syndicate bank ATM', 'Icici bank ATM', 'Sbi bank ATM', 'Kottakkal Arya Vaidya Shala', 'Mera Health Care Private Limited', 'Sowmya Dental Care', 'Dr. R Srinivasa', 'Cloud Nine Hospital', 'Chhaya Nursing Home', 'Manjunatha Maternity Home and Surgical Centre', 'Lakshmi Maternity Home', 'Shukra Auditorium', 'Sri Ganesh Medicals And Surgicals', 'MedPlus', 'Sri Ganesh Medicals', 'Bharat Petroleum', 'Kotak mahindra bank', 'Syndicate bank', 'Icici bank', 'Hdfc bank', 'Sree charan bank', 'Shristi Sagar', 'Parota Point', 'Srushti Coffee', 'Baskin Robbins', 'viking', 'Brahmins Thatte Idli', ""Chetty's Corner"", 'Adigas Saraswathi', 'Naturals', 'Sai Chats', 'Coffee Break', 'Coffee Day', 'Kaati Zone', 'Five Star Chicken', ""Chung's"", 'Big Straw Boba Bistro', '1947 Restaurant', 'Verna Stores', 'Udupi Upachaar Veg', 'Pizza stop', 'Vani Vilas', 'Hymamshu Jyoti Kala Peetha', 'Nirmala Rani High School', 'Physics', 'Society for Innovation and Development', 'CiSTUP', 'Centre for Brain Research', 'Ati Motors']","Exquisite 3-Bedroom (With potential of upto 5 or 6 bedrooms) home with significant income potential in malleswaram.This is an exceptional opportunity to own a meticulously crafted independent house on 18th cross, malleswaram, bengaluru. This property offers a harmonious blend of classic charm and modern luxury, coupled with a unique and substantial income-Generating asset.Property highlights:
 Address: House number 45, 18th cross, malleswaram, bengaluru.Asking price: 16 crores (Negotiatable) 
 Generous space:
 Built-Up area: Approximately 6,500 sq ft.
 Plot size: Approximately 3,800 sq ft. 
Luxurious interiors & design:
 Modern construction: This is a sound and recently renovated property, built to modern standards. Premium finishes: Step inside to discover elegant italian marble flooring and exquisite teak doors and windows. Thoughtful layout: The house spans two well-Appointed floors with a functional basement. Abundant natural light & airflow: Enjoy ample natural light throughout the home, thanks to over 10 feet of spacing between neighboring buildings, minimizing the need for artificial lighting during the day. Sky roof & indoor garden: Features a beautiful sky roof and indoor garden, bringing the outdoors in. Ample living areas: Features two large halls, a spacious dining area, and a grand, fairly large foyer right at the entrance. There's also a big balcony for outdoor enjoyment. Bedrooms: Currently configured with three comfortable bedrooms, each with an attached toilet, plus an additional guest washroom. Expansion potential: There's significant scope to easily expand the living space to 5 or even 6 bedrooms, depending on your needs.
 Exceptional water source & reliable income stream:
 The property boasts an incredibly robust high-Output borewell. This water source supports an established water supply business. This borewell water business consistently generates an average income of 1.5 lakhs per month, translating to around 18 to 20 lakhs annually. The water source has been in use for around 25 years without any disruption. 
 Additional benefits: Unused and private conservancy lane behind the property offers added privacy and potential to create a private garden or sit-Out area.
This property presents a rare chance to acquire a beautifully designed, spacious home in a prime bengaluru locality, complete with a significant and reliable income stream.Contact me for more details and to arrange a viewing.","['1 Water Purifier', 'Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', 'Light', '2 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '11 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Visitor Parking', 'Low Density Society', 'Rain Water Harvesting']","['Connectivity4.5 out of 5', 'Lifestyle4.5 out of 5', 'Safety4.3 out of 5', 'Green Area4.3 out of 5']",B86841426,"₹42,105 /sqft",3 Floors
"3 Bedroom House for sale in Belmar Layout, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-belmar-layout-bangalore-north-2320-sqft-spid-S86630648,"Belmar Layout, Bangalore, Bangalore North",2.75 Crore,Plot area 1650(153.29 sq.m.)Built-up area: 2320 sqft (215.54 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,"Belmar Layout, Bangalore",,1 to 5 Year Old,"['Dasarahalli metro station', 'Nagasandra metro station', 'Jalahalli metro station', 'REDEMPTION SISTERS', 'ST PAULS CHURCH', 'CSI Holy Cross Church', 'Icici bank ATM', 'Canara bank ATM', 'Hdfc ATM', 'Vijaya bank ATM', 'Axis bank ATM', 'naveen clinc', 'Esi Dispensary', 'PRAKRIYA HOSPITAL', 'Sri Venkateshwara Eye Hospital', 'Ashwini Hospital', 'Ragavendra Hospital', 'Deepak Nursing Home', 'NELAMAHESHWARI Government Hospital', 'Shree Vinayaka Clinic', 'Esi Hospital Peenya 1st Stage', 'Srinivasa Nursing Home Bengaluru Urban', 'Sri Krishna Medicals', 'Parking', 'BMTC', 'Swathi Petrol Gas Station', 'IBP', 'Shell', 'Total Gas Station', 'Indian Oil', 'Axis bank', 'Hdfc bank', 'State bank of india', 'Vijaya bank', 'Corporation bank', 'Bharathi Theatre', 'Rockline Cinemas', 'Agarwal Sweets and Restaurant', ""Papa John's"", 'KFC', 'PSR Andhra Style Restaurant', 'Phalahara Darshini Juice Center', 'schoenstatt st marys high school', 'Saint Sisters School', 'AIMS Institutes', 'Nammura Government Model Primary School', 'M.S. Ramaiah University of Applied Sciences Peenya campus', 'Ace Designers']","Looking for a 3 bhk independent house for sale in bengaluru? Your search ends here. Buy this 3 bhk property in bengaluru's finest location, t dasarahalli. This is an owner listed property and there is no brokerage involved. This independent house is available at a reasonable price of rs 2.75 cr. The built up area of this property is 2320 square feet. There are 3 bedrooms and 3 bathroom. Medical facility is also close at hand with names like gjm hospital, manjunatha nethralaya eye hospital, and eskay healthcare vagmine nilaya, mallasandra village, t dasarahalli, bangalore","['Light', '1 Curtains', '3 Wardrobe', '1 Sofa', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],S86630648,"₹16,667 /sqft",2 Floors
"3 Bedroom House for sale in Marasandra, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-marasandra-bangalore-north-1200-sqft-r1-spid-W67773778,"Marasandra, Bangalore, Bangalore North",75 Lac,Plot area 1200(111.48 sq.m.),3 Bedrooms,2 Bathrooms,1 Balcony,,"Marasandra, Bangalore",,0 to 1 Year Old,[],"I have a house/villa available for sale in marasandra, bangalore. Available at price of rs 75 lacs. It has plot area of 1200 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property",[],[],"['Connectivity4 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.6 out of 5', 'Green Area3.9 out of 5']",W67773778,"₹6,250 /sqft",2 Floors
"5 Bedroom House for sale in Padmeshwari Nagar, Old Madras Road",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-padmeshwari-nagar-bangalore-east-5500-sqft-spid-A86495948,"Padmeshwari Nagar, Old Madras Road, Bangalore East",3.5 Crore,Plot area 5500(510.97 sq.m.),5 Bedrooms,5 Bathrooms,2 Balconies,"Pooja Room,Study Room,Others","Padmeshwari Nagar, Old Madras Road",East,5 to 10 Year Old,"['Bank of india ATM', 'Icic bank ATM', 'Sbi ATM', 'Satya Sai', 'Swiss Medic Health Care', 'Shanthinilaya Hospital', 'Health Plus Multi Speciality Hospital', 'Pooja Dental and Orthodontic Clinic', 'Vijaya Lakshmi Clinic', 'Thyrocare', 'Seegehalli Government Hospital', 'Indira Sai Dental Care', 'GSR Dental & Health Care', 'Amma Poly Clinic', 'Sri Krishna Ayurvedic Clinic', 'Smart Dental Clinic', ""Dr. Mohan Babu's Clinic"", 'Sri Vinayaka Child Care Clinic', 'Shankar Nursing Home and Diagnostic Labratory', 'Tirumala Newborn Kids and Ortho Clinic', 'Indianova Heart Centre', 'Deepa Hospital', 'Shyam ENT clinic', 'Speciality Dental Clinic', 'Patil Hospital', 'Sri Ramakrishna Hospital Bengaluru Urban', 'Sri Lakshmi Super Speciality Hospital', 'Sri Ragavendra Homeo Clinic', 'Sad Bydya Shala Ayurvedic Hospital', 'Bhavani Skin & Cosmetology Clinic', 'Patil Hospital Bengaluru Urban', 'K R Puram Super Speciality Hospital', 'Rama Krishna Poly Clinic', 'Bhagya Sri Clinic', 'Aditya Pharma', 'SLV medicals', 'Rashi Medical Stores', 'Sree Manjunatha Medicals', 'Bharat Petroleum', 'State bank of india', 'Tibet Kitchen', 'Bruice Bar & Restaurant', 'Manu Bar & Restaurant', 'Bhagini Residency', 'Dominos Pizza', 'K.R Hotel', 'Garden City College', 'Cambridge Institute of Technolgy', 'Guntur Oxford School', 'Indus Valley School']",4 spacious bedroom one study room one office room big home theatre 3 covered car parking,"['4 Bed', '4 Wardrobe', '1 Water Purifier', 'Fan', '1 Sofa', '1 Stove', 'Light', '2 AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine']",['Piped-gas'],"['Connectivity3.7 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.6 out of 5', 'Green Area3.5 out of 5']",A86495948,"₹6,364 /sqft",4 Floors
"4 Bedroom House for sale in Sulivara, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mbsr-sanjeevini-sulivara-bangalore-west-1700-sqft-spid-B86535696,MBSR Sanjeevini,82 Lac,Plot area 1700(157.94 sq.m.),4 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,"Sulivara, Bangalore",North-East,1 to 5 Year Old,[],"Hi site size 30 x40 1200 aq ft ground floor 1200 used 2 bhk with car parking 1 st floor 15x20 2 bhk 600 sq ft 
Mbsr sanjeevani residence gated community bmrda and rera approved. And now gba south bangalore. Gollahalli bus stop near isro, manchnabaly dam road.Big baniyan tree mysore road.
Price 82 lacks","['Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],B86535696,"₹4,824 /sqft",2 Floors
"5 Bedroom House for sale in Kumaraswamy Layout, Kanakapura Road",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kumaraswamy-layout-bangalore-south-800-sqft-spid-U86387862,"Kumaraswamy Layout, Kanakapura Road, Bangalore South",1.5 Crore,Plot area 800(74.32 sq.m.),5 Bedrooms,3 Bathrooms,2 Balconies,,"Chandra Nagar, Kumaraswamy Layout, Bangalore, Kumaraswamy Layout, Kanakapura Road",West,5 to 10 Year Old,"['Yelachenahalli metro station', '108 Ganesha Temple', 'Shri Shri Chamundeshwari Temple', 'Shri Shri Shri Gangaparameshwari Temple', 'Udhbhava Kumarswamy Temple', 'Shri Vasavi Kaniyaka Parameshwari Temple', 'Kalabairaveshwara Temple', 'Ganesha Temple', 'Vinayaka Temple', 'Shanmukh Dixit Astrologer', 'Sacred Neem tree', 'Devarakere Venkataramana Temple', 'Axis bank ATM', 'Canara bank ATM', 'Icici bank ATM', 'Hdfc bank ATM', 'Oriental bank of commerce ATM', 'State bank of india ATM', 'Diabetacare', 'Sri Sai Ram Hospital', 'Medplus Path Labs', 'R.R. Hospital and Trauma Centre', 'Metro Hospital Bengaluru Rural', 'Metro Hospital', 'Karnataka Medicals and general stores', 'Apollo Pharmacy', 'Sagar Hospital Parking', 'Chinnaswamy Petrol Gas Station', 'Bharath Petroleum', 'State bank of india', 'State bank of india', 'Karur vysya bank', 'Indian overseas bank', 'Hdfc bank atm', 'Axis bank', 'Vijaya bank', 'Veg Corner', 'Shri Banashankari Darshini', 'NJAC', 'Polar Bear', 'Sri Krishna Upahar', 'Dominos', 'Liquor Paradise', 'Athithi Grand', 'Dayanand Sagar College of Engineering', 'Jyothi Kendriya Vidyalaya HPS Jaragana Halli 1', 'RMS International School', 'GMPS Jaraganahalli', 'Insight Academy', 'NIIT']","Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in kumaraswamy layout, bangalore south seems to be an ideal choice for a peaceful abode for a family. Constructed on a plot area of 800 sq.Ft., this house comprises 2 bedroom,2 houses ground floor plus 1st floor is duplex 3 bathrooms and 2 terrace. This 7,8 years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.5 crore, you can become the proud owner of this independent house.",[],[],"['Connectivity4.5 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.3 out of 5']",U86387862,"₹18,750 /sqft",2 Floors
"4 Bedroom House for sale in Adigara Kallahalli, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-adigara-kallahalli-bangalore-east-2850-sqft-spid-U86377124,"Adigara Kallahalli, Bangalore, Bangalore East",1.9 Crore,Plot area 1804(167.6 sq.m.)Built-up area: 2850 sqft (264.77 sq.m.),4 Bedrooms,4 Bathrooms,1 Balcony,"Pooja Room,Study Room","Adigara Kallahalli, Bangalore",West,1 to 5 Year Old,[],"Villa size: 2850 sqft
Plot size: 1802 sqft
Plot direction: West, premium corner
Main door : North
Fully furnished
Pooja room
4 bedrooms
4 bathrooms
Huge garden area
2 car parkings
Geysers
Solar
Water softener 
Modern kitchen fittings
Fully furnished house
Asking price: 2.1 cr","['1 Water Purifier', 'Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', 'Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', 'No Microwave', 'No Fridge', 'No Washing Machine']","['Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Park']",[],U86377124,"₹10,532 /sqft",1 Floors
"4 Bedroom House for sale in Ramanagara, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ramanagara-bangalore-south-2400-sq-ft-spid-M85866974,AURA VILLAS,1.65 Crore,Plot area 2400(222.97 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,,"Ramanagara, Bangalore",East,0 to 1 Year Old,"['RAMANAGARA District Hospital', 'SRS Hotel', 'Ramanagaram railway station']","First row villas in ramnagara, bengaluru south with gated community, park, children play area",[],"['Vaastu Compliant', 'Private Garden / Terrace', 'Park']","['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4.4 out of 5']",M85866974,"₹6,875 /sqft",2 Floors
"5 Bedroom House for sale in Gunjur, Near Varthur, Bangalore",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bs-green-life-gunjur-bangalore-east-2098-sq-ft-r2-spid-W77840573,BS Green Life,2.5 Crore,Plot area 1246(115.76 sq.m.)Built-up area: 2098 sqft (194.91 sq.m.),5 Bedrooms,4 Bathrooms,3+ Balconies,"Pooja Room,Study Room,Servant Room,Others","Gunjur, Near Varthur, Bangalore",East,0 to 1 Year Old,"['Rashtreeya Vidyalaya Road Metro Station', 'Central', 'State Highway 35', 'The International School Bangalore', 'Azim Premji University', 'Hope Hospital', 'Kempegowda International Airport', 'Kadugodi Railway Station']","Highly peaceful, well located and connected with city. Suitable for family and senior citizens. All facilities like shopping mall, railway station, metro, outer ring road, multi speciality hospital, international schools, whitefield within 10km radius. This corner villa is vastu compliant, well lit and ventilated comes with abundance of natural light and lots of open space and windows supporting natural ventilation.
This newly built corner villa is a perfect investment opportunity for families looking for a safe and secure locality in gunjur, bangalore.This spacious and well-Ventilated villa offers a peaceful and comfortable living experience.Spread across an area of 2098 square feet, this unfurnished villa boasts of 5 bedrooms and 4 bathrooms.The luxurious and modern architecture is sure to catch your attention.The villa is blessed with a road view, facing club house to enhance your everyday living.The amenities provided in this villa include badminton courts for recreational activities, an attached market for your convenience, and round-The-Clock security to ensure safety.The presence of balconies allows you to bask in the beauty of the surrounding.The walk-In closet provides ample space for storage, and the waste disposal system ensures cleanliness.Additionally, this villa also offers visitors parking, ample gardening space and balcony or terrace to relax and unwind.The villa is situated on the ground floor and comes with one parking space and a dedicated puja room.Being only 0-1 years old, the property is in excellent condition and ready for immediate possession.In conclusion, this newly built villa in gunjur, bangalore presents a unique investment opportunity for families seeking a safe and secure environment.With its ideal location and array of amenities, this villa is a perfect fit for those looking for a comfortable and convenient lifestyle.This sweet home is over 2098 sqft. & even comes with ample parking space for car. This home faces the east direction.If you are looking for a home with intercom, security & internet, this home is just right for you. As this home comes with visitor parking, fire safety, waste treatment plant & gas pipeline & more such amenities, living here would make life more pleasant. Amenities like club house, space for kids to play, gym, garden & swimming pool gives you something to do in your free time.Greenwood high international school, india international school and sneha care home are well known educational institutes in town & are very close to this home. If you are in need of any emergency services or medical assistance, you will be happy to note that lakshmi nursing home, sk (Siddhayoga kendra) yoga studio and sb health care centre are very close by.Never miss out on lifestyle as unique hypermarket, s m aluminium and nandini milk store are so close by. As prestige lakeside habitat - Malina club house, sri vinayaka cinemas & amphi theatre are in close proximity to this house, you can catch the latest movies at any time.",[],"['Security / Fire Alarm', 'Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Guard', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house']","['Connectivity4 out of 5', 'Lifestyle4 out of 5', 'Safety3.8 out of 5', 'Green Area4 out of 5']",W77840573,"₹20,064 /sqft",3 Floors
